processCcd timings:
overall:
processCcd:calibrate:detection.makeSourceCatalog: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=232
processCcd:calibrate:detection.detectFootprints: CpuTime median=10.0; mean=10.25; stdDev=0.56285908079; min=9; max=12; n=232
processCcd:calibrate:detection.detectFootprints: UTime median=9.0; mean=9.30172413793; stdDev=0.459006190068; min=9; max=10; n=232
processCcd:calibrate:detection.detectFootprints: STime median=1.0; mean=1.0775862069; stdDev=0.543787199583; min=0; max=3; n=232
processCcd:calibrate:detection.detectFootprints: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=232
processCcd:calibrate:initialMeasurement.measure: CpuTime median=3.0; mean=2.68103448276; stdDev=0.51860452561; min=2; max=4; n=232
processCcd:calibrate:initialMeasurement.measure: UTime median=3.0; mean=2.70689655172; stdDev=0.500297176846; min=2; max=4; n=232
processCcd:calibrate:initialMeasurement.measure: STime median=0.0; mean=0.0258620689655; stdDev=0.158723729651; min=0; max=1; n=232
processCcd:calibrate:initialMeasurement.measure: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=232
processCcd:calibrate.run: CpuTime median=36.0; mean=35.5215517241; stdDev=3.85842799047; min=19; max=43; n=232
processCcd:calibrate.run: UTime median=34.0; mean=33.9913793103; stdDev=3.93808917793; min=18; max=41; n=232
processCcd:calibrate.run: STime median=2.0; mean=1.63362068966; stdDev=0.706673114393; min=0; max=3; n=232
processCcd:calibrate.run: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=232
processCcd:calibrate.computeApCorr: CpuTime median=1.0; mean=0.900900900901; stdDev=0.412746349152; min=0; max=2; n=222
processCcd:calibrate.computeApCorr: UTime median=1.0; mean=0.927927927928; stdDev=0.384654090815; min=0; max=2; n=222
processCcd:calibrate.computeApCorr: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate.computeApCorr: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate.background: CpuTime median=4.0; mean=3.83920704846; stdDev=0.412529840163; min=3; max=5; n=454
